שם השיר,אלבום,"בוצע בהופעה ""Live קיסריה 2022""","בוצע בהופעה ""מנורה 2023""","בוצע ב""מופע העשור 2024""",תאריך הוצאה,צפיות ביוטיוב,זרמים בספוטיפיי,מיקום במצעדים,ז'אנר,האם סינגל,שיתופי פעולה
Bonsoir,אין אלבום,0.0,0.0,0.0,2019-09-01,,,,פופ,1.0,אין
הזמן שלנו,אין אלבום,0.0,0.0,0.0,2019-09-01,,,,פופ,1.0,איתי לוי
והיא שעמדה,אין אלבום,0.0,0.0,0.0,2020-04-08,,,,בלדה,1.0,אין
אמא,אין אלבום,0.0,0.0,0.0,2020-07-08,,,,בלדה,1.0,אין
יש בי אהבה,אין אלבום,0.0,0.0,0.0,2020-12-10,,,,בלדה,1.0,בנימין נתניהו
כל הזמן הזה,אין אלבום,0.0,0.0,0.0,2018-01-01,,,,פופ,1.0,איזי
Señorita,אין אלבום,0.0,0.0,0.0,2019-01-01,,,,פופ,1.0,עדן חסון
זן נדיר,אין אלבום,0.0,0.0,1.0,2024-12-12,,,,בלדה,0.0,אין
מקסיקאנה,אין אלבום,0.0,0.0,0.0,2014-01-01,,,,פופ,1.0,אתניX
Godmother,אין אלבום,0.0,0.0,0.0,2024-01-01,,,,פופ,1.0,נגה ארז
אולי תיפתח הדלת,אין אלבום,0.0,0.0,0.0,2024-10-01,,,,בלדה,1.0,דניאלה גלבוע
Stop,תדע שאני פה,0.0,0.0,0.0,2025-03-28,,,,פופ,1.0,אין
תדע שאני פה,תדע שאני פה,0.0,0.0,0.0,2024-11-11,,,,פופ,1.0,אין
